continent,country,population,year,income,LLAVE_MUNICIPIO,llaveeconomia
Económicamente activa,Cuauhtémoc,354745,1980,354.745,14,153
Económicamente inactiva,Cuauhtémoc,264229,1980,264.229,14,158
Económicamente activa Ocupados,Cuauhtémoc,233676,1990,233.676,14,154
Económicamente activa Desocupados,Cuauhtémoc,5329,1990,5.329,14,157
Económicamente inactiva,Cuauhtémoc,219490,1990,219.49,14,158
Económicamente inactiva Quehaceres domésticos,Cuauhtémoc,104020,1990,104.02,14,159
Económicamente inactiva Estudiantes,Cuauhtémoc,80844,1990,80.844,14,160
Económicamente inactiva Jubilados y pensionados,Cuauhtémoc,18503,1990,18.503,14,161
Económicamente inactiva Incapacitados permanentemente para trabajar,Cuauhtémoc,2800,1990,2.8,14,162
Económicamente inactiva Otros,Cuauhtémoc,13323,1990,13.323,14,163
Económicamente No Especificado,Cuauhtémoc,6074,1990,6.074,14,164
Económicamente activa Ocupados,Cuauhtémoc,233403,2000,233.403,14,154
Económicamente activa Desocupados,Cuauhtémoc,3714,2000,3.714,14,157
Económicamente inactiva,Cuauhtémoc,173151,2000,173.151,14,158
Económicamente inactiva Quehaceres domésticos,Cuauhtémoc,59544,2000,59.544,14,159
Económicamente inactiva Estudiantes,Cuauhtémoc,51710,2000,51.71,14,160
Económicamente inactiva Jubilados y pensionados,Cuauhtémoc,17653,2000,17.653,14,161
Económicamente inactiva Incapacitados permanentemente para trabajar,Cuauhtémoc,1623,2000,1.623,14,162
Económicamente inactiva Otros,Cuauhtémoc,42621,2000,42.621,14,163
Económicamente No Especificado,Cuauhtémoc,1845,2000,1.845,14,164
Económicamente activa Ocupados,Cuauhtémoc,259228,2010,259.228,14,154
Económicamente activa Desocupados,Cuauhtémoc,11639,2010,11.639,14,157
Económicamente inactiva,Cuauhtémoc,161087,2010,161.087,14,158
Económicamente inactiva Quehaceres domésticos,Cuauhtémoc,64110,2010,64.11,14,159
Económicamente inactiva Estudiantes,Cuauhtémoc,62289,2010,62.289,14,160
Económicamente inactiva Jubilados y pensionados,Cuauhtémoc,24611,2010,24.611,14,161
Económicamente inactiva Incapacitados permanentemente para trabajar,Cuauhtémoc,3152,2010,3.152,14,162
Económicamente inactiva Otros,Cuauhtémoc,6925,2010,6.925,14,163
Económicamente No Especificado,Cuauhtémoc,4002,2010,4.002,14,164
Económicamente activa Ocupados,Cuauhtémoc,269664,2015,269.664,14,154
Económicamente activa Desocupados,Cuauhtémoc,12371,2015,12.371,14,157
Económicamente inactiva,Cuauhtémoc,180567,2015,180.567,14,158
Económicamente No Especificado,Cuauhtémoc,1008,2015,1.008,14,164
