continent,country,population,year,income,LLAVE_MUNICIPIO,llaveeconomia
Económicamente activa,Iztacalco,207596,1980,207.596,5,153
Económicamente inactiva,Iztacalco,184087,1980,184.087,5,158
Económicamente activa,Iztapalapa,433933,1980,433.933,6,153
Económicamente inactiva,Iztapalapa,386726,1980,386.726,6,158
Económicamente activa,Venustiano Carranza,263348,1980,263.348,16,153
Económicamente inactiva,Venustiano Carranza,229196,1980,229.196,16,158
Económicamente activa Ocupados,Iztacalco,158420,1990,158.42,5,154
Económicamente activa Desocupados,Iztacalco,4409,1990,4.409,5,157
Económicamente inactiva,Iztacalco,176108,1990,176.108,5,158
Económicamente inactiva Quehaceres domésticos,Iztacalco,83542,1990,83.542,5,159
Económicamente inactiva Estudiantes,Iztacalco,71235,1990,71.235,5,160
Económicamente inactiva Jubilados y pensionados,Iztacalco,8507,1990,8.507,5,161
Económicamente inactiva Incapacitados permanentemente para trabajar,Iztacalco,1849,1990,1.849,5,162
Económicamente inactiva Otros,Iztacalco,10975,1990,10.975,5,163
Económicamente No Especificado,Iztacalco,3251,1990,3.251,5,164
Económicamente activa Ocupados,Iztapalapa,485558,1990,485.558,6,154
Económicamente activa Desocupados,Iztapalapa,13608,1990,13.608,6,157
Económicamente inactiva,Iztapalapa,558112,1990,558.112,6,158
Económicamente inactiva Quehaceres domésticos,Iztapalapa,278883,1990,278.883,6,159
Económicamente inactiva Estudiantes,Iztapalapa,221169,1990,221.169,6,160
Económicamente inactiva Jubilados y pensionados,Iztapalapa,16779,1990,16.779,6,161
Económicamente inactiva Incapacitados permanentemente para trabajar,Iztapalapa,4875,1990,4.875,6,162
Económicamente inactiva Otros,Iztapalapa,36406,1990,36.406,6,163
Económicamente No Especificado,Iztapalapa,20052,1990,20.052,6,164
Económicamente activa Ocupados,Venustiano Carranza,185595,1990,185.595,16,154
Económicamente activa Desocupados,Venustiano Carranza,4846,1990,4.846,16,157
Económicamente inactiva,Venustiano Carranza,201911,1990,201.911,16,158
Económicamente inactiva Quehaceres domésticos,Venustiano Carranza,98832,1990,98.832,16,159
Económicamente inactiva Estudiantes,Venustiano Carranza,76053,1990,76.053,16,160
Económicamente inactiva Jubilados y pensionados,Venustiano Carranza,12517,1990,12.517,16,161
Económicamente inactiva Incapacitados permanentemente para trabajar,Venustiano Carranza,2227,1990,2.227,16,162
Económicamente inactiva Otros,Venustiano Carranza,12282,1990,12.282,16,163
Económicamente No Especificado,Venustiano Carranza,6018,1990,6.018,16,164
Económicamente activa Ocupados,Iztacalco,172568,2000,172.568,5,154
Económicamente activa Desocupados,Iztacalco,3050,2000,3.05,5,157
Económicamente inactiva,Iztacalco,145213,2000,145.213,5,158
Económicamente inactiva Quehaceres domésticos,Iztacalco,59718,2000,59.718,5,159
Económicamente inactiva Estudiantes,Iztacalco,45384,2000,45.384,5,160
Económicamente inactiva Jubilados y pensionados,Iztacalco,11305,2000,11.305,5,161
Económicamente inactiva Incapacitados permanentemente para trabajar,Iztacalco,1211,2000,1.211,5,162
Económicamente inactiva Otros,Iztacalco,27595,2000,27.595,5,163
Económicamente No Especificado,Iztacalco,1127,2000,1.127,5,164
Económicamente activa Ocupados,Iztapalapa,705741,2000,705.741,6,154
Económicamente activa Desocupados,Iztapalapa,11209,2000,11.209,6,157
Económicamente inactiva,Iztapalapa,609972,2000,609.972,6,158
Económicamente inactiva Quehaceres domésticos,Iztapalapa,261653,2000,261.653,6,159
Económicamente inactiva Estudiantes,Iztapalapa,189534,2000,189.534,6,160
Económicamente inactiva Jubilados y pensionados,Iztapalapa,26189,2000,26.189,6,161
Económicamente inactiva Incapacitados permanentemente para trabajar,Iztapalapa,4635,2000,4.635,6,162
Económicamente inactiva Otros,Iztapalapa,127961,2000,127.961,6,163
Económicamente No Especificado,Iztapalapa,4830,2000,4.83,6,164
Económicamente activa Ocupados,Venustiano Carranza,192829,2000,192.829,16,154
Económicamente activa Desocupados,Venustiano Carranza,3278,2000,3.278,16,157
Económicamente inactiva,Venustiano Carranza,166859,2000,166.859,16,158
Económicamente inactiva Quehaceres domésticos,Venustiano Carranza,65981,2000,65.981,16,159
Económicamente inactiva Estudiantes,Venustiano Carranza,49411,2000,49.411,16,160
Económicamente inactiva Jubilados y pensionados,Venustiano Carranza,13784,2000,13.784,16,161
Económicamente inactiva Incapacitados permanentemente para trabajar,Venustiano Carranza,1457,2000,1.457,16,162
Económicamente inactiva Otros,Venustiano Carranza,36226,2000,36.226,16,163
Económicamente No Especificado,Venustiano Carranza,1380,2000,1.38,16,164
Económicamente activa Ocupados,Iztacalco,166614,2010,166.614,5,154
Económicamente activa Desocupados,Iztacalco,8702,2010,8.702,5,157
Económicamente inactiva,Iztacalco,135909,2010,135.909,5,158
Económicamente inactiva Quehaceres domésticos,Iztacalco,59426,2010,59.426,5,159
Económicamente inactiva Estudiantes,Iztacalco,50883,2010,50.883,5,160
Económicamente inactiva Jubilados y pensionados,Iztacalco,17102,2010,17.102,5,161
