continent,country,population,year,income,LLAVE_MUNICIPIO,llaveeconomia
Económicamente activa,Cuajimalpa de Morelos,30792,1980,30.792,3,153
Económicamente inactiva,Cuajimalpa de Morelos,28185,1980,28.185,3,158
Económicamente activa,La Magdalena Contreras,62124,1980,62.124,7,153
Económicamente inactiva,La Magdalena Contreras,54295,1980,54.295,7,158
Económicamente activa,Álvaro Obregón,236317,1980,236.317,9,153
Económicamente inactiva,Álvaro Obregón,207427,1980,207.427,9,158
Económicamente activa Ocupados,Cuajimalpa de Morelos,39138,1990,39.138,3,154
Económicamente activa Desocupados,Cuajimalpa de Morelos,1055,1990,1.055,3,157
Económicamente inactiva,Cuajimalpa de Morelos,44717,1990,44.717,3,158
Económicamente inactiva Quehaceres domésticos,Cuajimalpa de Morelos,22951,1990,22.951,3,159
Económicamente inactiva Estudiantes,Cuajimalpa de Morelos,17596,1990,17.596,3,160
Económicamente inactiva Jubilados y pensionados,Cuajimalpa de Morelos,980,1990,0.98,3,161
Económicamente inactiva Incapacitados permanentemente para trabajar,Cuajimalpa de Morelos,332,1990,0.332,3,162
Económicamente inactiva Otros,Cuajimalpa de Morelos,2858,1990,2.858,3,163
Económicamente No Especificado,Cuajimalpa de Morelos,1063,1990,1.063,3,164
Económicamente activa Ocupados,La Magdalena Contreras,66789,1990,66.789,7,154
Económicamente activa Desocupados,La Magdalena Contreras,1798,1990,1.798,7,157
Económicamente inactiva,La Magdalena Contreras,73637,1990,73.637,7,158
Económicamente inactiva Quehaceres domésticos,La Magdalena Contreras,35538,1990,35.538,7,159
Económicamente inactiva Estudiantes,La Magdalena Contreras,29620,1990,29.62,7,160
Económicamente inactiva Jubilados y pensionados,La Magdalena Contreras,3231,1990,3.231,7,161
Económicamente inactiva Incapacitados permanentemente para trabajar,La Magdalena Contreras,654,1990,0.654,7,162
Económicamente inactiva Otros,La Magdalena Contreras,4594,1990,4.594,7,163
Económicamente No Especificado,La Magdalena Contreras,2572,1990,2.572,7,164
Económicamente activa Ocupados,Álvaro Obregón,227381,1990,227.381,9,154
Económicamente activa Desocupados,Álvaro Obregón,5952,1990,5.952,9,157
Económicamente inactiva,Álvaro Obregón,241679,1990,241.679,9,158
Económicamente inactiva Quehaceres domésticos,Álvaro Obregón,117591,1990,117.591,9,159
Económicamente inactiva Estudiantes,Álvaro Obregón,95696,1990,95.696,9,160
Económicamente inactiva Jubilados y pensionados,Álvaro Obregón,10558,1990,10.558,9,161
Económicamente inactiva Incapacitados permanentemente para trabajar,Álvaro Obregón,2189,1990,2.189,9,162
Económicamente inactiva Otros,Álvaro Obregón,15645,1990,15.645,9,163
Económicamente No Especificado,Álvaro Obregón,6734,1990,6.734,9,164
Económicamente activa Ocupados,Cuajimalpa de Morelos,60892,2000,60.892,3,154
Económicamente activa Desocupados,Cuajimalpa de Morelos,860,2000,0.86,3,157
Económicamente inactiva,Cuajimalpa de Morelos,48924,2000,48.924,3,158
Económicamente inactiva Quehaceres domésticos,Cuajimalpa de Morelos,21534,2000,21.534,3,159
Económicamente inactiva Estudiantes,Cuajimalpa de Morelos,16585,2000,16.585,3,160
Económicamente inactiva Jubilados y pensionados,Cuajimalpa de Morelos,1506,2000,1.506,3,161
Económicamente inactiva Incapacitados permanentemente para trabajar,Cuajimalpa de Morelos,348,2000,0.348,3,162
Económicamente inactiva Otros,Cuajimalpa de Morelos,8951,2000,8.951,3,163
Económicamente No Especificado,Cuajimalpa de Morelos,324,2000,0.324,3,164
Económicamente activa Ocupados,La Magdalena Contreras,91898,2000,91.898,7,154
Económicamente activa Desocupados,La Magdalena Contreras,1595,2000,1.595,7,157
Económicamente inactiva,La Magdalena Contreras,74384,2000,74.384,7,158
Económicamente inactiva Quehaceres domésticos,La Magdalena Contreras,29612,2000,29.612,7,159
